253,253,254,253,255,255,255,255,251,252,252,255,255,255,254,255
254,255,253,254,254,254,254,254,254,252,255,254,255,254,255,254
254,252,254,255,255,253,252,253,253,252,252,254,254,255,254,255
254,255,254,254,253,253,253,253,253,255,254,253,255,254,254,255
255,255,253,252,252,251,254,253,252,251,251,250,253,253,254,255
254,254,253,253,252,252,252,252,251,181,223,254,252,253,255,255
254,252,252,253,254,255,255,254,255,145,151,254,255,254,253,255
254,255,210,213,252,242,124,76,253,168,69,251,254,254,254,252
250,248,190,98,238,255,146,5,225,139,148,255,255,254,255,255
253,253,247,144,136,248,185,28,160,202,97,251,252,253,254,253
253,254,254,222,117,177,160,72,134,133,51,227,254,253,254,254
254,253,253,254,253,85,129,124,223,63,74,254,254,254,254,255
253,254,252,253,255,130,0,27,247,174,206,254,255,254,255,254
254,253,252,254,251,247,147,124,253,255,254,255,255,255,255,255
254,254,253,252,254,250,254,253,253,252,252,255,254,255,255,254
254,255,253,254,253,252,253,254,255,253,253,252,255,255,254,254
