255,252,255,255,253,255,253,255,253,255,255,255,254,255,255,254
254,255,255,253,255,255,255,253,255,255,255,253,255,255,253,254
255,250,254,255,255,252,255,254,254,250,255,255,251,254,255,255
254,255,255,255,251,255,255,255,255,255,254,253,255,255,253,254
255,253,255,252,255,255,252,250,255,255,255,251,1,255,255,255
255,254,255,0,250,255,255,255,0,254,255,254,3,253,255,254
254,255,251,1,255,255,255,249,1,255,254,255,0,255,255,255
255,251,255,1,252,255,254,255,1,0,255,253,3,254,254,255
255,255,254,254,4,251,255,254,0,3,253,255,1,254,255,255
253,255,255,253,0,255,255,0,255,0,255,249,1,255,254,255
255,254,251,255,0,1,255,2,253,255,0,5,0,255,255,253
255,255,255,252,255,2,0,0,255,249,0,3,254,253,255,255
252,255,254,255,254,0,1,255,253,255,255,250,255,255,252,255
255,253,255,251,255,255,255,254,255,252,255,255,254,255,255,254
252,255,255,255,254,255,248,255,255,254,255,254,255,255,255,255
255,255,255,253,255,251,255,255,255,253,255,254,255,255,255,255
